k,rebalance_time,status,eligible_symbol_count,long_symbols,short_symbols,funding_pnl_bps,price_pnl_bps,cost_bps,gross_pnl_bps,net_pnl_bps
3,1713686400000,RESOLVED,20,BCHUSDT|TRXUSDT|AVAXUSDT,ATOMUSDT|ETCUSDT|APTUSDT,1.2929166666666667,3.068755097067229,6.0,4.361671763733895,-1.638328236266105
3,1713715200000,RESOLVED,20,TRXUSDT|BCHUSDT|ATOMUSDT,ETCUSDT|OPUSDT|LTCUSDT,1.3481999999999998,-14.010630401161501,6.0,-12.662430401161501,-18.6624304011615
3,1713744000000,RESOLVED,20,BCHUSDT|SUIUSDT|ATOMUSDT,LTCUSDT|TRXUSDT|UNIUSDT,1.2816666666666667,6.980281568522879,6.0,8.261948235189546,2.2619482351895464
3,1713772800000,RESOLVED,20,BCHUSDT|ATOMUSDT|SUIUSDT,ETCUSDT|LINKUSDT|XRPUSDT,1.5152500000000002,-28.874638200833314,6.0,-27.359388200833312,-33.35938820083331
3,1713801600000,RESOLVED,20,BCHUSDT|SUIUSDT|ATOMUSDT,LINKUSDT|OPUSDT|DOTUSDT,1.1280999999999999,16.696617647506034,6.0,17.824717647506034,11.824717647506034
3,1713830400000,RESOLVED,20,BCHUSDT|SUIUSDT|AVAXUSDT,LTCUSDT|ETCUSDT|TRXUSDT,1.3871833333333334,-102.06814908405293,6.0,-100.6809657507196,-106.6809657507196
3,1713859200000,RESOLVED,20,SUIUSDT|ATOMUSDT|BCHUSDT,LINKUSDT|XRPUSDT|OPUSDT,1.6568666666666665,-9.494801918357163,6.0,-7.837935251690497,-13.837935251690496
3,1713888000000,RESOLVED,20,BNBUSDT|BCHUSDT|LTCUSDT,ARBUSDT|LINKUSDT|OPUSDT,1.4446833333333335,3.9773818124577236,6.0,5.422065145791057,-0.5779348542089426
3,1713916800000,RESOLVED,20,BNBUSDT|BCHUSDT|SUIUSDT,DOTUSDT|ETCUSDT|OPUSDT,1.8768833333333337,-72.02284041086813,6.0,-70.14595707753479,-76.14595707753479
3,1713945600000,RESOLVED,20,BNBUSDT|BCHUSDT|DOTUSDT,ARBUSDT|ETCUSDT|TRXUSDT,1.6746999999999999,-58.53284763072812,6.0,-56.85814763072812,-62.85814763072812
3,1713974400000,RESOLVED,20,BNBUSDT|BCHUSDT|TRXUSDT,LINKUSDT|LTCUSDT|SOLUSDT,1.7260166666666668,109.89231596111536,6.0,111.61833262778202,105.61833262778202
